"current A","U12 V","U45 V","U14 V","U25 V","total voltage V"
0.011346,0.011244,0.0093199,0.00072434,-0.0012061,1.2
0.012231,0.012116,0.010019,0.00080431,-0.0013,1.31
0.012291,0.01218,0.010081,0.00078759,-0.0013081,1.31
0.013172,0.013049,0.01079,0.00085881,-0.0014001,1.4
0.013235,0.013116,0.010858,0.00084874,-0.0014081,1.4
0.014113,0.013982,0.011552,0.00093704,-0.0015001,1.51
0.01418,0.014053,0.01163,0.00092717,-0.0015079,1.51
0.015056,0.014918,0.012307,0.0010127,-0.0016005,1.6
0.015123,0.01499,0.012406,0.00098099,-0.0016083,1.6
0.015999,0.015852,0.013062,0.0010968,-0.0017017,1.71
0.016068,0.015927,0.013149,0.0010727,-0.0017092,1.71
0.016941,0.016787,0.013828,0.0011594,-0.0018006,1.79
0.017014,0.016864,0.013926,0.0011284,-0.0018088,1.79
0.017883,0.017722,0.014596,0.0012252,-0.0019015,1.91
0.017959,0.0178,0.014698,0.0011923,-0.0019092,1.91
0.018827,0.018658,0.015376,0.0013104,-0.002001,1.98
0.018904,0.018738,0.015481,0.0012504,-0.0020109,1.99
0.019771,0.019595,0.016157,0.0013469,-0.0021022,2.11
0.01985,0.019677,0.016265,0.0013036,-0.0021115,2.11
0.020716,0.020535,0.016935,0.0014021,-0.0022031,2.19
0.020798,0.020619,0.017032,0.0013786,-0.0022119,2.18
0.021661,0.02147,0.017711,0.0014599,-0.0023027,2.31
0.021744,0.021558,0.017796,0.0014414,-0.0023126,2.31
0.022604,0.022408,0.018493,0.0015129,-0.0024047,2.41
0.022689,0.022496,0.018552,0.0015284,-0.0024131,2.38
0.023549,0.023345,0.019264,0.0015679,-0.0025047,2.51
0.023634,0.023435,0.019342,0.0015907,-0.0025144,2.51
0.024494,0.024284,0.020046,0.0016417,-0.0026062,2.61
0.024582,0.024374,0.020111,0.0016559,-0.0026138,2.59
0.025441,0.025225,0.020805,0.0017123,-0.0027057,2.71
0.025527,0.025314,0.020873,0.0017423,-0.0027159,2.71
0.026387,0.026164,0.021596,0.0017739,-0.0028067,2.81
0.026475,0.026254,0.021653,0.0017928,-0.0028162,2.78
0.027334,0.027106,0.022377,0.0018326,-0.0029083,2.91
0.027423,0.027195,0.022396,0.0018856,-0.0029187,2.91
0.028281,0.028046,0.02312,0.0019135,-0.0030092,3.01
0.02837,0.028137,0.02316,0.0019646,-0.0030198,2.98
0.029227,0.028987,0.023911,0.0019667,-0.00311,3.1
0.029317,0.029078,0.023952,0.0020141,-0.0031186,3.11
0.030069,0.029826,0.024573,0.0020636,-0.0031999,3.15
0.03007,0.029822,0.024593,0.0020358,-0.0031995,3.2
0.03007,0.029829,0.024607,0.0020305,-0.0032004,3.19
0.030071,0.029826,0.024605,0.0020215,-0.0031996,3.2
0.030071,0.029828,0.024612,0.0020173,-0.0032011,3.2
0.030071,0.029829,0.02459,0.0020545,-0.0032,3.19
