"current I (A)","magnetic field (B) [T]"
7.2984842500000005,-1.5447499999999998
7.39722725,-1.56075
7.49685825,-1.57625
7.5959667500000005,-1.5915
7.69505275,-1.60625
7.79422375,-1.621
7.893546,-1.6355
7.993057749999999,-1.6492499999999999
8.09263475,-1.6624999999999999
8.19147175,-1.67525
8.291259499999999,-1.6875
8.3905065,-1.7
8.48998775,-1.712
8.5905425,-1.72375
8.68922925,-1.7349999999999999
8.789679249999999,-1.7457500000000001
8.88986675,-1.7567499999999998
8.989370749999999,-1.767
9.090295000000001,-1.77725
9.18874925,-1.787
9.28784575,-1.7962500000000001
9.387535,-1.8057500000000002
9.4874895,-1.815
9.587852,-1.82425
9.68696825,-1.8335
9.78667175,-1.84225
-9.783514,1.8352499999999998
-9.6843275,1.8259999999999998
-9.58549625,1.816
-9.48612775,1.806
-9.386594,1.7962500000000001
-9.2871865,1.7865
-9.188405750000001,1.7767499999999998
-9.0887925,1.76675
-8.98927725,1.75625
-8.88884575,1.7457500000000001
-8.787746499999999,1.73475
-8.688474,1.72375
-8.589179249999999,1.713
-8.49233675,1.7025
-8.3936865,1.6905
-8.2932015,1.6784999999999999
-8.1939475,1.6654999999999998
-8.092099750000001,1.6515
-7.99227375,1.6385
-7.893048,1.6247500000000001
-7.7931842499999995,1.61075
-7.6946235000000005,1.59625
-7.595453,1.58125
-7.495625500000001,1.566
-7.3961225,1.5505
-7.29647225,1.5350000000000001
-7.1968482499999995,1.519
-7.09719475,1.5027499999999998
-6.9974555,1.486
-6.89783825,1.4685000000000001
-6.798466500000001,1.4515
-6.699391,1.433
-6.6004707499999995,1.41425
-6.500680249999999,1.3944999999999999
-6.40148175,1.3739999999999999
-6.302173,1.3535000000000001
-6.2016175,1.3325
-6.10206075,1.312
-6.001748750000001,1.291
-5.90162325,1.27
-5.80215025,1.249
-5.702605999999999,1.2277500000000001
-5.603161249999999,1.2065
-5.503071749999999,1.18525
-5.4040175,1.1644999999999999
-5.304312749999999,1.14325
-5.20495575,1.12225
-5.1065872500000005,1.10125
-5.007475749999999,1.0795
-4.9087137499999995,1.0579999999999998
-4.80897825,1.03625
-4.709170749999999,1.01475
-4.609530250000001,0.993
-4.51006125,0.97125
-4.41106825,0.9497500000000001
-4.311961,0.92775
-4.21293825,0.9057499999999999
-4.112807999999999,0.884
-4.0129155,0.8627499999999999
-3.9128757500000004,0.841
-3.8127404999999994,0.8195
-3.71358725,0.798
-3.6140802499999998,0.7757499999999999
-3.514897,0.7545
-3.41551525,0.7327499999999999
-3.3161285,0.711
-3.21701925,0.68925
-3.1176117500000005,0.66675
-3.0185332500000004,0.6447499999999999
-2.91872575,0.62275
-2.8187945,0.6005
-2.7196139999999995,0.5787500000000001
-2.61857925,0.5575
