0.0221,-2.195373795207435e-6
0.0504,-6.1273722637008535e-6
0.0891,-0.00001001846921052632
0.12969999999999998,-0.000013835473665987853
0.1722,-0.000016965356824146915
"107/500",-0.000018293583202247192
"129/500",-0.000018509559852941237
"151/500",-0.00001765355377659572
"69/200",-0.000015993388124999975
"391/1000",-0.000011704459000000085
"87/200",-6.651647732558224e-6
"479/1000",-2.0519190476191336e-7
"523/1000",7.139826436170231e-6
"71/125",0.000015428215166666658
"153/250",0.00002432077194444444
"329/500",0.00003435120806249991
"351/500",0.00004457294312500007
"149/200",0.00005470220639534884
"79/100",0.00006564026879999989
"833/1000",0.00007613605217948716
"439/500",0.00008787646534883712
"921/1000",0.00009950992255813949
"241/250",0.0001109566080555555
"126/125",0.00012233525297619034
"21/20",0.0001333643686363636
"273/250",0.00014446919457558138
"227/200",0.00015565071028571427
"1179/1000",0.0001668459354047619
"61/50",0.0001770541526785714
"1261/1000",0.00018796397958720934
"1303/1000",0.0001986611172378049
"269/200",0.00020886903811904761
"173/125",0.0002175708029679487
"178/125",0.00022768507264189184
"73/50",0.00023583158180882354
"187/125",0.00024470680983333334
"1529/1000",0.00025276612410294117
"39/25",0.00025974515933333345
"199/125",0.00026693480587931047
"81/50",0.00027317000073148143
"206/125",0.00027960544586111115
"837/500",0.00028537797733333336
"1699/1000",0.0002906702619130435
"861/500",0.0002954446729673913
"349/200",0.0002999849424285714
"883/500",0.0003049184905
"893/500",0.00030886632111842106
"361/200",0.00031265309925
"228/125",0.000316228899
"1839/1000",0.00031939300349999994
"931/500",0.00032372098925000006
0.016300000000000002,-2.0847244745177736e-6
