"current A","U12 V","U45 V","U14 V","U25 V","total voltage V"
0.0013034000000000001,0.0092578,0.007464,0.0018189,-0.00090584,1.5
0.0013497000000000001,0.0095819,0.0081136,0.0023615,-0.0009449,1.56
0.0013962000000000002,0.0099078,0.0071845,0.0032905,-0.00097518,1.61
0.0014426,0.010238,0.0087987,0.0012685,-0.0010163,1.66
0.0014892000000000002,0.010566,0.0090862,0.0024013,-0.0010328,1.7
0.0015355000000000002,0.010899,0.009047,0.0020565,-0.0010779,1.76
0.0015822,0.011235,0.0089002,0.0023228,-0.0011055,1.8
0.001629,0.011579,0.0093944,0.0026566,-0.0011404,1.86
0.0016755,0.011893,0.009702,0.0020844,-0.0011821,1.9
0.0017223,0.012235,0.01062,0.0007874,-0.001217,1.96
0.0017689000000000001,0.012555,0.011634,0.0027954,-0.0012376,2.
0.0018155000000000003,0.012882,0.011148,0.0012006,-0.0012847,2.06
0.0018623000000000001,0.013215,0.010419,0.0018991,-0.0013172,2.1
0.0019088000000000002,0.013554,0.012466,0.0018748,-0.0013482,2.16
0.0019558,0.01389,0.01154,0.0021413,-0.0013873,2.21
0.0020023,0.014212,0.011891,0.0028642,-0.0014195,2.26
0.0020496,0.014559,0.011891,0.0020998,-0.0014581,2.31
0.0020963,0.014879,0.012704,0.0016757,-0.0014787,2.36
0.0021433000000000003,0.015215,0.01264,0.0018133,-0.0015252,2.41
0.00219,0.015563,0.013504,0.0016039,-0.0015533,2.46
