0.027600000000000003,0.007123472475064338
0.0748,0.007124828663526315
0.12290000000000001,0.007127087688409894
0.1699,0.007129437317016129
0.216,0.00713191889875
0.263,0.0071314277969642854
0.309,0.007129238763653846
0.356,0.0071305522864423074
0.401,0.007123372863928571
0.449,0.0071374927713157895
0.414,0.007140624155000001
0.374,0.007134833477403846
0.331,0.0071323132638461545
0.287,0.007129375753035714
0.241,0.007124119529772727
0.195,0.007130065058333333
0.15,0.007130764275
0.102,0.007125825004912281
0.055799999999999995,0.007126982446712329
0.021500000000000002,0.007130222147631578
0.014199999999999999,0.007124159517408759
0.092,0.007121894276535088
0.203,0.007126261243333333
0.32,0.0071350060975
0.442,0.00713763820076087
0.559,0.007139751873863636
0.668,0.007151448229821428
0.784,0.007148231660454545
0.912,0.007171199837285714
1.027,0.00716931977046875
1.14,0.0071781663725
1.251,0.007187207887946428
1.366,0.007199701192774725
1.47,0.0072121250526712335
1.567,0.007208490565117187
1.652,0.007223008183333333
1.728,0.007234505630613207
1.795,0.007227631812179488
1.796,0.007229670909615384
1.854,0.007235838578173077
1.894,0.007230965441176471
1.923,0.0072488874593181814
1.911,0.00724009999159091
1.881,0.0072330620265625
1.839,0.0072338657403125
1.781,0.0072296706975
1.715,0.007228122535
1.64,0.007222726333026315
1.553,0.007206685972875
1.453,0.007202358819021739
1.342,0.007198597792916667
1.229,0.007192071402767857
1.115,0.007174932150227273
0.996,0.007169907945092592
0.883,0.0071617828663571425
0.764,0.007147923749431818
0.65,0.0071405932500000005
0.536,0.00714338469375
0.415,0.00714128632875
0.298,0.0071216115375
0.179,0.0071298602725
0.0615,0.007132607406335616
